Age,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Loan_Approved
31,111658,666,5616,36,Employed,1
48,77993,579,47045,24,Unemployed,0
22,94696,582,39498,12,Unemployed,0
52,47213,339,44492,12,Employed,0
40,135788,488,12772,60,Employed,0
46,124956,463,24849,36,Self-Employed,0
60,77784,835,13940,24,Employed,1
28,27421,835,17932,24,Self-Employed,0
35,106936,303,30769,12,Employed,0
64,119073,589,25648,60,Employed,0
29,37727,732,48411,12,Self-Employed,0
26,132418,770,33966,12,Unemployed,0
27,24358,480,28777,60,Employed,0
61,85108,547,33567,36,Unemployed,0
34,146609,578,18174,24,Employed,0
55,114018,553,43598,36,Employed,0
24,144457,480,14798,48,Self-Employed,0
63,52117,808,18558,48,Unemployed,1
30,108700,625,45237,48,Unemployed,0
57,51910,656,1178,60,Employed,1
59,146888,690,21470,12,Employed,1
26,118032,384,18118,36,Employed,0
67,75754,616,23616,24,Employed,0
44,82438,511,1798,48,Unemployed,0
19,129847,814,8601,36,Employed,1
22,49371,683,26363,48,Self-Employed,0
46,71501,641,3795,48,Employed,0
54,80946,337,32926,24,Employed,0
55,58467,810,46264,60,Employed,0
36,37625,719,38356,12,Employed,0
25,53893,468,8297,60,Employed,0
65,96329,642,4084,36,Self-Employed,0
62,51007,605,31329,60,Employed,0
18,111302,841,12110,36,Self-Employed,1
39,59532,836,1731,36,Employed,1
69,74253,411,2129,12,Self-Employed,0
34,32323,710,29022,24,Employed,0
24,131335,505,2605,12,Self-Employed,0
42,132356,484,12970,60,Employed,0
62,130944,681,44705,36,Unemployed,0
21,93379,795,45130,48,Self-Employed,0
53,34210,678,30265,48,Employed,0
23,36456,346,33330,36,Employed,0
48,51367,827,3933,12,Employed,1
36,74624,803,16187,24,Self-Employed,1
61,30106,321,26791,12,Employed,0
56,123493,512,25900,36,Employed,0
44,88008,609,6074,36,Employed,0
27,145926,571,47805,24,Employed,0
43,135395,501,27426,60,Self-Employed,0
36,136492,331,40867,60,Employed,0
56,92240,742,1893,24,Unemployed,1
20,84315,461,35158,60,Self-Employed,0
62,89249,553,20773,48,Employed,0
30,90587,820,5239,60,Unemployed,1
67,30756,779,21863,60,Employed,0
45,88011,309,4432,60,Unemployed,0
37,56378,804,36139,48,Employed,0
45,24255,735,2515,60,Unemployed,0
25,34484,410,32670,48,Employed,0
58,145703,452,49674,24,Employed,0
56,76549,401,40094,12,Employed,0
18,54503,490,15605,24,Employed,0
20,144465,380,6586,12,Unemployed,0
30,93794,788,36685,24,Employed,0
45,145941,387,49669,12,Unemployed,0
66,126283,493,32186,12,Employed,0
42,120732,403,27928,36,Unemployed,0
50,65113,395,33728,12,Employed,0
55,125730,722,18551,12,Employed,1
23,94069,497,22493,36,Employed,0
61,118117,300,21711,60,Unemployed,0
62,25249,706,21039,60,Employed,0
49,145654,677,37561,36,Self-Employed,0
62,139979,466,10947,48,Self-Employed,0
64,39201,808,33335,12,Employed,0
38,145541,612,16859,12,Unemployed,0
33,78576,717,24122,36,Employed,1
38,138562,776,2577,36,Employed,1
28,145281,372,43256,48,Unemployed,0
54,29686,440,29350,60,Unemployed,0
53,132413,561,42932,24,Unemployed,0
52,73363,639,34798,60,Employed,0
36,117543,607,32898,12,Employed,0
37,20661,544,16881,36,Employed,0
35,64843,814,11785,48,Unemployed,1
64,115673,636,7691,60,Employed,0
58,80963,375,18297,48,Unemployed,0
66,133092,474,7358,60,Employed,0
31,62828,408,20581,12,Employed,0
32,68604,482,2462,24,Employed,0
48,30526,491,16511,48,Employed,0
18,88910,364,11570,48,Employed,0
20,45592,773,49665,24,Self-Employed,0
33,48982,399,45414,48,Self-Employed,0
40,20207,843,16474,48,Employed,0
28,120969,427,8037,60,Employed,0
29,137181,751,29129,60,Employed,1
27,108733,668,43267,24,Self-Employed,0
49,118936,342,14386,12,Employed,0
33,144982,718,7221,48,Self-Employed,1
25,145839,787,24474,12,Employed,1
55,88619,377,41537,24,Employed,0
29,49328,569,48124,24,Self-Employed,0
41,66479,614,22045,60,Employed,0
45,128427,467,26783,48,Employed,0
25,40103,638,41157,36,Employed,0
45,59891,492,5922,24,Employed,0
53,30754,752,47407,48,Employed,0
43,119983,582,23706,12,Unemployed,0
25,101437,635,43771,60,Unemployed,0
67,118540,689,33479,12,Employed,0
45,92982,824,6178,24,Self-Employed,1
45,122747,539,31022,24,Employed,0
54,75922,782,16240,12,Employed,1
58,68231,757,27220,24,Employed,1
53,49301,388,37736,48,Employed,0
44,111652,394,3716,24,Employed,0
34,140787,751,17574,60,Self-Employed,1
26,146823,727,47279,48,Employed,0
50,82711,450,18719,36,Employed,0
37,61323,813,9181,24,Employed,1
30,38752,675,46763,24,Unemployed,0
45,117912,321,45066,60,Self-Employed,0
65,102205,612,21213,60,Employed,0
46,118452,818,7380,12,Employed,1
30,33395,505,1615,12,Employed,0
63,105957,674,1463,12,Employed,1
52,141237,750,32973,60,Employed,0
23,76273,478,10158,12,Employed,0
35,147431,509,21651,12,Employed,0
68,111878,799,4158,36,Employed,1
22,24895,763,21008,12,Employed,0
64,139968,423,47202,24,Self-Employed,0
42,135700,412,5938,60,Self-Employed,0
19,96559,311,39185,48,Employed,0
27,30699,425,23388,36,Employed,0
47,85061,630,9881,60,Employed,0
67,29715,582,6603,60,Employed,0
62,39169,439,35980,24,Unemployed,0
22,145436,700,23504,12,Employed,1
50,138413,396,17766,24,Self-Employed,0
18,36163,816,29386,12,Self-Employed,0
35,139264,368,12695,12,Employed,0
49,25782,417,18796,60,Employed,0
64,108177,358,43543,12,Employed,0
66,149772,332,15559,36,Employed,0
28,144481,617,39914,36,Employed,0
38,104328,349,34139,36,Employed,0
43,135028,788,39333,60,Self-Employed,0
42,55585,318,9802,24,Employed,0
39,50682,496,9307,48,Employed,0
44,67864,749,41205,12,Unemployed,0
66,149992,751,34214,48,Unemployed,0
30,104416,588,35159,24,Employed,0
50,75114,440,12516,24,Self-Employed,0
51,147810,383,30086,60,Employed,0
58,58067,690,49222,36,Employed,0
52,62685,514,31480,36,Employed,0
18,142262,825,45659,24,Employed,0
38,38073,514,48766,60,Self-Employed,0
65,56035,702,39737,60,Unemployed,0
23,84977,427,10265,12,Self-Employed,0
45,122710,776,49629,36,Employed,0
34,110373,703,6454,24,Employed,1
22,103362,328,36918,48,Employed,0
48,110517,637,27181,36,Employed,0
22,85450,660,16386,12,Unemployed,1
55,30382,691,40182,60,Unemployed,0
20,24437,517,38425,24,Employed,0
40,90971,501,44254,36,Employed,0
54,84612,316,25327,48,Employed,0
54,110355,621,22181,12,Employed,0
27,81929,817,48662,12,Employed,0
27,122411,624,22452,36,Employed,0
36,117518,711,39248,48,Employed,0
34,118864,617,41801,12,Employed,0
38,32329,381,34751,24,Employed,0
31,145605,773,22991,12,Employed,1
26,45169,767,42311,48,Unemployed,0
63,107468,724,10916,60,Employed,1
18,54594,503,11143,60,Self-Employed,0
68,96957,686,26855,36,Employed,1
62,80631,397,16581,48,Employed,0
30,65033,644,2907,12,Employed,0
21,83133,507,30424,12,Employed,0
18,93165,813,24308,60,Self-Employed,1
66,93861,465,42984,60,Employed,0
57,72290,321,42505,24,Self-Employed,0
49,114031,453,47525,60,Self-Employed,0
51,51750,738,37942,24,Employed,0
45,115155,594,27957,12,Employed,0
48,60461,518,26464,24,Unemployed,0
25,93800,794,49476,24,Employed,0
56,98222,529,24649,36,Unemployed,0
43,132020,319,43065,60,Employed,0
51,44226,447,28125,24,Employed,0
20,26721,407,35758,12,Employed,0
67,76154,702,6596,48,Employed,1
29,40609,782,17374,24,Self-Employed,0
18,72130,666,4775,60,Employed,1
61,92909,713,28388,36,Self-Employed,1
22,124211,608,22029,12,Employed,0
47,75249,433,19445,36,Employed,0
47,68895,582,49474,48,Employed,0
34,114473,372,15645,24,Employed,0
65,25656,780,32105,24,Employed,0
64,144865,651,14668,60,Employed,1
40,94520,625,16960,24,Self-Employed,0
32,83740,742,12357,12,Employed,1
54,84309,399,38203,48,Employed,0
38,49984,358,16804,36,Self-Employed,0
31,138947,807,15626,48,Unemployed,1
19,93822,557,29132,24,Employed,0
28,25901,712,8951,36,Employed,0
68,51552,751,7449,60,Self-Employed,1
56,111245,364,20065,48,Employed,0
55,51055,453,36967,36,Employed,0
51,57685,565,40536,36,Employed,0
55,93965,378,10130,36,Self-Employed,0
67,34716,614,24824,12,Employed,0
51,134099,547,42401,48,Self-Employed,0
35,31138,713,37993,36,Employed,0
47,55298,324,32875,48,Unemployed,0
32,71112,583,7054,36,Employed,0
44,43429,748,35273,60,Employed,0
68,70200,600,42821,60,Self-Employed,0
51,91308,367,49517,60,Employed,0
69,68244,306,11832,24,Employed,0
55,137217,436,30670,36,Employed,0
50,134055,463,23852,24,Employed,0
41,121268,382,24620,48,Employed,0
32,125441,719,29307,24,Unemployed,1
47,37347,372,48551,48,Employed,0
59,36920,536,2551,48,Employed,0
68,51822,345,48922,48,Employed,0
34,66659,561,28812,24,Unemployed,0
22,60108,475,14799,36,Unemployed,0
46,148955,465,27312,24,Employed,0
21,109099,669,40620,36,Employed,0
27,27967,353,2449,36,Self-Employed,0
34,130719,718,25426,48,Employed,1
27,31871,806,36427,24,Self-Employed,0
34,114299,640,41277,36,Self-Employed,0
37,97452,426,32551,60,Unemployed,0
41,94270,708,25277,36,Employed,1
22,53613,666,36489,60,Self-Employed,0
51,48179,570,46212,24,Unemployed,0
23,140465,678,10637,24,Employed,1
19,72188,372,44258,24,Employed,0
30,75099,547,36693,36,Employed,0
60,55262,342,10824,12,Employed,0
60,98213,676,27950,36,Employed,1
65,137407,340,24488,36,Employed,0
28,38268,469,40008,48,Employed,0
68,97866,511,1215,48,Employed,0
64,106269,792,41067,36,Employed,0
40,80545,338,12523,60,Unemployed,0
33,123483,668,11364,48,Self-Employed,1
48,112822,450,4153,36,Employed,0
28,92146,410,24834,12,Employed,0
33,91966,779,35474,60,Employed,0
25,59922,735,44066,24,Unemployed,0
21,99364,346,35335,36,Unemployed,0
57,62913,665,11400,36,Self-Employed,1
21,117033,368,11345,60,Employed,0
42,124792,598,34896,48,Self-Employed,0
20,139425,595,20894,48,Employed,0
49,75677,502,29899,48,Unemployed,0
20,122154,360,41635,24,Employed,0
44,69841,613,29229,60,Self-Employed,0
46,66332,460,6583,60,Employed,0
49,112062,630,5897,48,Unemployed,0
67,139863,827,7001,48,Self-Employed,1
68,115694,637,44881,12,Employed,0
36,45032,603,5567,12,Employed,0
38,57846,802,10271,36,Self-Employed,1
22,79474,637,48116,36,Employed,0
35,64936,849,12703,60,Employed,1
45,49794,574,14329,60,Employed,0
59,81588,463,36509,24,Employed,0
39,90984,742,7256,24,Employed,1
38,70331,618,1228,12,Employed,0
23,114397,803,25746,36,Employed,1
18,48141,686,17678,12,Employed,0
22,29074,793,38052,12,Self-Employed,0
58,26406,789,47032,36,Self-Employed,0
29,117359,372,47158,24,Unemployed,0
43,143279,808,24185,36,Employed,1
63,43291,689,34686,48,Self-Employed,0
51,61568,594,12445,48,Employed,0
66,117539,668,34266,48,Employed,0
31,66851,848,3809,60,Self-Employed,1
43,119942,486,38729,24,Unemployed,0
62,74823,744,42785,24,Unemployed,0
44,43312,662,37547,60,Unemployed,0
26,63108,422,43818,12,Employed,0
43,86918,487,35886,48,Employed,0
64,54171,719,7391,48,Unemployed,1
39,61779,551,1145,12,Employed,0
64,88828,848,14929,36,Employed,1
47,127315,634,25326,36,Unemployed,0
60,118723,391,30991,24,Unemployed,0
65,32411,829,48685,60,Employed,0
34,122821,362,38333,24,Unemployed,0
43,137990,811,17576,36,Self-Employed,1
53,77009,438,40405,12,Unemployed,0
18,35422,484,29464,24,Employed,0
25,62468,504,9243,48,Employed,0
66,52371,513,32601,48,Employed,0
52,77022,555,3410,12,Employed,0
69,91229,434,2820,36,Employed,0
32,119071,387,36289,48,Employed,0
64,71196,506,39650,48,Employed,0
39,100354,428,35635,60,Self-Employed,0
31,116774,302,8465,24,Employed,0
43,116410,420,33439,36,Unemployed,0
45,46715,684,28314,24,Unemployed,0
40,47605,337,45229,36,Employed,0
31,119853,640,20583,48,Self-Employed,0
41,51174,320,28155,60,Employed,0
19,29956,541,39871,24,Employed,0
62,124444,754,13197,48,Unemployed,1
43,96373,602,30511,36,Employed,0
31,89252,368,16424,24,Unemployed,0
68,81949,428,49821,24,Employed,0
24,82646,495,1240,48,Self-Employed,0
20,90017,439,5631,24,Employed,0
64,83037,743,10599,60,Unemployed,1
40,109818,582,45462,60,Employed,0
63,26548,611,25658,48,Unemployed,0
60,136981,834,38845,36,Unemployed,0
64,123141,576,33574,48,Employed,0
62,93294,360,37536,60,Unemployed,0
35,129204,618,42910,12,Employed,0
55,43177,351,8995,12,Self-Employed,0
52,44022,452,26186,24,Employed,0
68,126297,610,30245,24,Self-Employed,0
32,140695,843,23813,12,Self-Employed,1
42,25542,688,14276,60,Employed,0
54,111012,847,20989,24,Employed,1
45,116320,476,13746,48,Employed,0
27,80428,661,45243,48,Self-Employed,0
56,42740,613,19557,60,Employed,0
34,79353,396,29060,24,Employed,0
56,110353,512,7568,48,Self-Employed,0
39,133132,436,36369,24,Employed,0
43,76532,305,20041,24,Unemployed,0
61,36052,408,7080,48,Employed,0
42,120689,846,14854,12,Employed,1
34,67076,338,3159,48,Unemployed,0
30,73420,724,28025,60,Employed,1
37,20671,560,42081,36,Employed,0
42,20163,725,5368,48,Self-Employed,0
21,61424,386,35085,24,Employed,0
27,129538,764,28094,24,Self-Employed,1
20,73744,375,47040,48,Self-Employed,0
58,90331,770,2230,36,Employed,1
62,30634,713,18517,48,Employed,0
35,24798,756,24991,36,Unemployed,0
64,42420,584,2301,36,Employed,0
53,137043,538,29610,60,Employed,0
64,140575,671,16927,24,Unemployed,1
39,147158,794,35678,24,Employed,0
51,49300,344,25466,36,Self-Employed,0
64,109881,700,15904,24,Employed,1
25,30749,546,41875,12,Employed,0
57,124131,749,27081,36,Employed,1
66,45121,784,25354,24,Self-Employed,0
61,148563,317,28761,12,Unemployed,0
36,57487,588,19300,60,Self-Employed,0
59,113947,713,30491,24,Employed,0
58,53361,534,36525,12,Employed,0
54,41223,715,27532,48,Employed,0
23,92930,798,7464,48,Employed,1
69,34056,414,17562,12,Employed,0
43,48380,533,42856,36,Unemployed,0
51,46035,839,48892,36,Employed,0
62,50620,310,48028,24,Self-Employed,0
23,39877,505,43511,48,Employed,0
54,145481,546,9683,36,Self-Employed,0
50,75316,426,33634,36,Employed,0
39,84041,446,1060,48,Employed,0
38,128940,417,10269,60,Employed,0
23,137360,681,24065,36,Employed,1
23,73352,711,3895,12,Employed,1
65,50911,662,16323,24,Employed,1
21,52784,808,13352,36,Employed,1
47,23191,436,45643,36,Unemployed,0
28,53160,474,39591,60,Unemployed,0
47,110536,588,31890,12,Self-Employed,0
48,124576,780,33016,24,Employed,0
41,84641,318,12962,36,Unemployed,0
26,69723,494,34302,24,Employed,0
20,23631,629,20846,48,Employed,0
68,26172,474,5011,36,Employed,0
48,62080,748,20782,36,Employed,1
57,109097,653,3155,48,Employed,1
54,110353,798,40725,60,Employed,0
53,40281,440,10196,36,Employed,0
41,48671,392,44459,24,Unemployed,0
48,142811,538,22709,12,Unemployed,0
23,71431,504,14327,24,Self-Employed,0
19,110900,732,36474,60,Unemployed,0
37,142139,544,33769,12,Employed,0
45,127210,616,42993,24,Self-Employed,0
28,147734,594,25700,24,Self-Employed,0
21,112961,581,15820,48,Employed,0
32,135463,316,11891,60,Employed,0
23,48602,370,35629,48,Self-Employed,0
66,108789,568,6269,12,Employed,0
47,71399,624,44880,48,Self-Employed,0
55,43472,604,49467,60,Employed,0
68,69230,750,9320,36,Employed,1
19,93616,306,11740,36,Employed,0
32,27099,613,36897,12,Employed,0
28,138614,402,31930,36,Self-Employed,0
25,45431,492,18285,48,Self-Employed,0
43,76492,828,15380,12,Employed,1
68,116722,470,12360,60,Employed,0
62,67684,836,6398,12,Self-Employed,1
61,50111,550,6529,12,Unemployed,0
22,125387,686,30062,24,Employed,0
23,83936,506,37686,24,Employed,0
43,42614,840,18451,12,Unemployed,0
21,112260,715,7937,36,Unemployed,1
36,61991,679,40886,24,Employed,0
37,90476,443,11860,60,Employed,0
50,137959,324,26142,48,Self-Employed,0
37,80920,372,26279,24,Unemployed,0
66,114294,392,39106,12,Employed,0
29,83530,804,46240,36,Employed,0
64,56224,635,36908,48,Unemployed,0
18,27788,724,41764,24,Employed,0
43,48082,798,49257,36,Employed,0
31,143287,663,15201,36,Employed,1
55,109570,498,41544,36,Employed,0
54,121015,712,38711,12,Unemployed,0
28,96816,638,46654,60,Employed,0
53,103588,728,9997,36,Unemployed,1
30,36531,438,41566,48,Employed,0
60,108340,841,21175,24,Employed,1
20,114439,356,41860,48,Employed,0
50,64857,531,4225,12,Self-Employed,0
23,30142,734,45578,12,Self-Employed,0
67,135053,683,48682,48,Employed,0
27,68355,493,36228,60,Unemployed,0
22,29866,833,42505,12,Unemployed,0
40,90067,817,47688,12,Self-Employed,0
27,130990,484,24110,48,Employed,0
61,123634,591,11754,12,Unemployed,0
19,123814,634,27655,60,Employed,0
30,145426,415,44601,60,Employed,0
57,84027,348,4114,60,Self-Employed,0
19,77906,381,27502,24,Employed,0
37,48138,632,49128,60,Employed,0
18,112601,634,21028,60,Employed,0
54,49956,831,18587,24,Unemployed,0
26,127268,520,43719,36,Unemployed,0
34,124797,622,36333,12,Employed,0
26,144917,302,4174,60,Self-Employed,0
28,146303,505,36398,12,Employed,0
32,96295,339,36929,48,Employed,0
41,25439,358,5321,12,Self-Employed,0
55,67241,806,31435,24,Employed,0
52,62533,421,46972,12,Employed,0
47,48270,778,8099,12,Employed,0
48,98815,395,24760,12,Self-Employed,0
66,59279,713,12360,36,Employed,1
22,129787,534,11313,36,Self-Employed,0
61,43888,361,47270,48,Unemployed,0
67,37630,555,21462,24,Employed,0
31,81063,647,6801,12,Unemployed,0
28,138527,423,15130,12,Employed,0
26,143239,781,15271,12,Employed,1
51,147896,616,17075,12,Unemployed,0
29,55144,803,37919,36,Self-Employed,0
52,72161,347,42679,48,Employed,0
52,116718,708,19984,60,Employed,1
18,145873,435,23559,24,Employed,0
57,111074,500,13861,12,Employed,0
39,97360,549,34434,48,Employed,0
46,70979,613,17667,60,Employed,0
25,117661,667,6840,48,Unemployed,1
28,26979,728,4565,36,Employed,0
58,46189,779,44194,60,Employed,0
54,62600,613,21977,48,Self-Employed,0
31,79560,799,22118,36,Self-Employed,1
47,98040,654,23641,48,Employed,1
52,143257,784,8366,48,Employed,1
38,81558,510,27636,60,Unemployed,0
54,106205,343,16630,36,Employed,0
22,26910,840,21056,12,Employed,0
36,77713,391,8382,24,Unemployed,0
31,66857,564,17149,60,Employed,0
43,54964,519,49639,36,Employed,0
21,105667,741,47041,48,Employed,0
42,45227,700,1992,36,Employed,0
62,25978,699,7858,24,Employed,0
59,107527,789,3121,24,Self-Employed,1
42,37153,784,28160,12,Employed,0
35,79765,769,46156,12,Employed,0
57,119084,744,21906,24,Employed,1
25,128212,568,20572,60,Self-Employed,0
56,59071,566,5136,60,Employed,0
57,132990,353,17727,48,Employed,0
31,89519,827,33167,12,Self-Employed,0
49,29503,819,46421,48,Employed,0
68,80703,358,16479,12,Employed,0
55,84379,339,32376,24,Employed,0
50,115457,536,5823,60,Employed,0
40,77866,685,5920,60,Employed,1
32,36905,599,20585,24,Unemployed,0
50,65838,694,39239,48,Employed,0
42,145200,506,18272,48,Employed,0
34,78279,635,27619,36,Employed,0
50,109489,813,10533,12,Employed,1
64,46806,477,40895,48,Employed,0
19,65000,695,4720,24,Self-Employed,1
31,42168,670,20267,48,Employed,0
57,90119,617,16696,60,Unemployed,0
57,58714,668,30968,12,Employed,0
68,74093,683,24345,36,Employed,1
56,75419,361,26693,12,Employed,0
68,69145,804,20385,60,Employed,1
23,125432,538,19122,60,Employed,0
23,97425,494,2364,60,Employed,0
20,112949,521,3708,60,Unemployed,0
24,97811,360,13982,24,Employed,0
68,22461,428,18308,36,Employed,0
25,34291,455,33919,60,Employed,0
59,66804,677,26161,60,Employed,1
69,96971,736,36089,48,Employed,0
32,113471,506,14865,36,Employed,0
64,84946,687,1495,12,Employed,1
46,118989,779,45755,36,Unemployed,0
50,104080,639,3148,36,Self-Employed,0
69,141719,639,34324,36,Employed,0
47,81332,503,14393,60,Employed,0
56,97794,460,2552,60,Self-Employed,0
44,50841,839,36853,24,Employed,0
53,144447,691,33924,12,Employed,0
46,140029,833,9926,48,Employed,1
55,68758,369,31851,36,Employed,0
50,134726,704,24889,12,Employed,1
54,96272,816,40930,12,Employed,0
44,57643,419,9055,24,Employed,0
50,70408,516,5654,48,Employed,0
21,63950,355,23634,36,Unemployed,0
39,76849,665,33363,48,Employed,0
19,120500,803,12468,24,Employed,1
27,48044,754,33922,60,Employed,0
22,125469,403,41718,12,Unemployed,0
27,145588,376,49091,36,Unemployed,0
50,35997,529,18380,60,Unemployed,0
55,99751,557,27870,24,Employed,0
30,118605,563,38394,48,Unemployed,0
48,43911,630,15259,12,Unemployed,0
64,75533,481,15873,36,Employed,0
53,102566,849,14016,60,Employed,1
62,114870,326,43137,60,Employed,0
41,34571,575,1153,12,Unemployed,0
69,128255,598,8853,48,Employed,0
32,149226,390,13379,24,Employed,0
46,114463,779,16792,48,Self-Employed,1
25,77941,757,39367,48,Unemployed,0
22,78005,750,19100,48,Self-Employed,1
46,106250,664,48553,12,Self-Employed,0
64,78712,650,12049,12,Employed,0
21,63541,699,1786,24,Unemployed,1
29,43387,552,5368,48,Employed,0
62,113980,758,31699,12,Self-Employed,0
19,68908,798,48691,24,Employed,0
44,105457,807,38040,24,Self-Employed,0
48,33057,603,28454,48,Unemployed,0
68,84028,800,39762,36,Unemployed,0
68,130804,465,24600,48,Employed,0
53,139246,714,30238,36,Employed,0
53,75731,761,26241,24,Unemployed,1
43,44858,413,20810,12,Employed,0
60,68689,732,21167,60,Self-Employed,1
44,64638,655,22811,24,Employed,1
22,111598,506,40779,12,Unemployed,0
37,122386,534,21085,24,Employed,0
28,66486,741,47854,48,Unemployed,0
27,40567,654,10261,36,Unemployed,0
57,49739,814,19733,24,Employed,0
55,77804,507,40779,12,Employed,0
23,128821,424,30079,48,Employed,0
25,23754,437,34980,60,Employed,0
40,47044,638,15141,48,Employed,0
64,87260,836,10344,36,Unemployed,1
43,86912,367,40472,48,Employed,0
63,145623,840,16896,60,Employed,1
60,28706,682,24817,12,Employed,0
29,28894,318,30813,24,Employed,0
43,38037,749,19895,36,Employed,0
30,103986,373,1143,60,Self-Employed,0
57,101942,575,11681,36,Self-Employed,0
35,71612,347,8367,48,Employed,0
42,49725,510,4228,36,Employed,0
50,25926,839,5582,60,Self-Employed,0
64,124555,490,14147,24,Employed,0
57,29496,614,12397,24,Employed,0
60,76447,412,39799,36,Employed,0
29,121604,469,38011,12,Employed,0
61,49806,767,14647,36,Self-Employed,0
53,108199,313,28718,48,Unemployed,0
65,61321,587,45264,24,Employed,0
21,142041,488,43317,24,Employed,0
22,122031,454,48914,24,Unemployed,0
54,85095,770,20097,12,Self-Employed,1
25,42656,374,37953,12,Unemployed,0
59,75147,576,46254,60,Unemployed,0
66,111396,642,41096,36,Employed,0
45,69666,724,18107,36,Self-Employed,1
48,102368,810,4010,48,Unemployed,1
26,58787,481,6555,24,Employed,0
68,133767,757,1067,12,Unemployed,1
46,82946,363,29412,48,Employed,0
31,41727,559,45953,48,Employed,0
57,128351,492,35305,12,Employed,0
58,115081,705,12549,36,Employed,1
39,142721,392,6680,24,Employed,0
28,130058,729,26739,36,Employed,1
40,88056,733,22209,48,Employed,1
18,23081,703,42515,24,Employed,0
63,54196,733,23432,60,Employed,1
54,56735,411,16116,48,Employed,0
38,124749,674,21045,36,Unemployed,1
43,100102,358,27327,36,Employed,0
63,99578,342,36709,36,Employed,0
53,45498,506,44617,12,Self-Employed,0
40,96865,595,27905,48,Unemployed,0
18,51656,417,8067,24,Self-Employed,0
68,87695,831,33559,36,Employed,0
57,57900,521,43919,36,Employed,0
32,148392,465,18985,12,Unemployed,0
38,137235,455,28369,24,Employed,0
64,104899,483,18864,48,Employed,0
26,67701,389,23614,60,Employed,0
26,128777,393,48894,12,Self-Employed,0
27,39033,312,16613,48,Employed,0
69,143193,737,7447,60,Self-Employed,1
43,30805,837,6499,36,Self-Employed,0
58,55851,449,40041,36,Employed,0
52,46832,307,32315,24,Unemployed,0
69,83437,328,2299,60,Unemployed,0
42,135725,595,40469,36,Self-Employed,0
43,33944,639,5994,36,Employed,0
28,39873,738,30878,24,Unemployed,0
55,60372,443,16627,48,Employed,0
19,109464,818,8489,36,Self-Employed,1
24,35379,344,27111,12,Employed,0
35,137322,538,33355,12,Employed,0
44,56751,454,9269,48,Unemployed,0
51,120082,480,3831,60,Self-Employed,0
44,109822,514,45370,24,Employed,0
34,25110,387,12819,12,Employed,0
60,74341,555,25813,12,Employed,0
61,32087,810,22637,48,Self-Employed,0
68,43762,372,2996,60,Unemployed,0
41,135812,478,45387,60,Self-Employed,0
42,102617,511,4089,48,Employed,0
24,120483,533,34291,12,Employed,0
69,29596,764,21659,24,Unemployed,0
